Symbol	logFC_tum	logFC_norm	delta_logFC
A1BG	-0.276692307692305	2.3988433497537	-2.675535657446005
A1CF	0.639584615384617	0.292100985221681	0.347483630162936
A2M	0.514849999999996	-2.03238226600985	2.547232266009846
A2ML1	0.511880769230769	-8.46530147783251	8.97718224706328
A3GALT2	0.937130769230771	1.07824679802955	-0.14111602879877905
A4GALT	0.4718	0.918825123152708	-0.44702512315270804
A4GNT	2.2391076923077	1.74174285714285	0.49736483516484986
AAAS	0.206046153846153	0.362679310344827	-0.156633156498674
AACS	0.456215384615385	-2.10181034482758	2.558025729442965
AADAC	1.29328846153847	-7.43653152709359	8.729819988632059
AADACL2	0.260346153846157	-12.7635492610837	13.023895414929857
AADACL3	-0.567288461538462	-4.59366256157635	4.026374100037888
AADACL4	-0.339115384615383	3.31684039408866	-3.655955778704043
AADAT	2.56369615384615	3.15067438423646	-0.5869782303903102
AAGAB	0.680996153846153	0.83060344827586	-0.149607294429707
AAK1	0.606826923076923	1.26216896551724	-0.6553420424403169
AAMDC	-0.170080769230768	-0.441551231527094	0.271470462296326
AAMP	0.200038461538461	-0.208038916256156	0.408077377794617
AANAT	-0.374857692307693	-1.87383152709359	1.498973834785897
AAR2	0.380653846153844	0.178388669950738	0.20226517620310602
AARD	2.91224230769231	-2.84720344827586	5.759445755968169
AARS1	0.369557692307693	1.59279901477832	-1.223241322470627
AARS2	0.425426923076924	0.531833990147784	-0.10640706707086
AARSD1	0.208203846153846	0.242929556650247	-0.034725710496401024
AASDH	1.28129230769231	0.643633497536949	0.637658810155361
AASDHPPT	1.46775	1.29700985221675	0.1707401477832502
AASS	1.23961923076923	1.38257290640394	-0.14295367563471006
AATF	-0.172423076923075	0.0883571428571459	-0.2607802197802209
AATK	0.755988461538463	-2.71089507389163	3.466883535430093
ABAT	1.71038846153846	1.36257044334975	0.34781801818870983
ABCA1	1.22857307692308	0.653660591133003	0.574912485790077
ABCA10	2.22670769230769	-2.07297290640394	4.29968059871163
ABCA12	1.4595	-8.51261970443349	9.97211970443349
ABCA13	1.22544615384615	-3.32177783251231	4.5472239863584605
ABCA2	0.402873076923078	-0.0432014778325138	0.4460745547555918
ABCA3	-0.0623115384615391	-4.31331674876848	4.251005210306941
ABCA4	0.530746153846155	-1.21664827586207	1.747394429708225
ABCA5	1.10596153846154	-1.87742413793104	2.98338567639258
ABCA6	3.96656153846154	1.47940344827586	2.48715809018568
ABCA7	-0.375846153846155	-2.60715714285714	2.231310989010985
ABCA8	4.70888076923077	2.44033793103448	2.26854283819629
ABCA9	2.78750384615385	1.33595911330049	1.4515447328533602
ABCB1	0.858819230769231	-3.65916354679803	4.517982777567261
ABCB10	1.53872307692308	0.808192610837439	0.730530466085641
ABCB11	0.767596153846155	-5.9359448275862	6.703540981432354
ABCB4	0.135307692307692	-1.69412315270936	1.829430845017052
ABCB5	-1.41511153846154	-2.55500837438423	1.1398968359226898
ABCB6	-0.127819230769231	0.0389763546798036	-0.16679558544903458
ABCB7	1.14685	-0.230114285714283	1.376964285714283
ABCB8	-0.450503846153846	0.0919704433497532	-0.5424742895035992
ABCB9	0.294503846153847	0.616943842364532	-0.32243999621068503
ABCC1	0.474119230769231	1.41946206896552	-0.945342838196289
ABCC10	-0.284842307692308	0.0087073891625619	-0.2935496968548699
ABCC11	2.05317307692308	-0.545045812807881	2.598218889730961
ABCC12	2.59728846153847	-1.46476206896552	4.06205053050399
ABCC2	-1.54164615384615	-0.0359679802955667	-1.505678173550583
ABCC3	0.982738461538462	1.3230236453202	-0.340285183781738
ABCC4	1.39032307692308	2.01581280788177	-0.6254897309586898
ABCC5	0.624450000000001	0.863841379310344	-0.23939137931034304
ABCC6	0.47878076923077	0.336973399014779	0.141807370215991
ABCC8	2.5758576923077	-4.71790837438423	7.29376606669193
ABCC9	2.02648846153846	3.41299064039409	-1.38650217885563
ABCD1	-1.45171538461539	0.999771428571428	-2.451486813186818
ABCD2	2.88773461538462	0.361378325123149	2.526356290261471
ABCD3	1.36009230769231	-0.558771428571428	1.918863736263738
ABCD4	0.994123076923079	-0.337177339901477	1.331300416824556
ABCE1	1.31880384615385	1.6881039408867	-0.36930009473284997
ABCF1	0.137457692307692	0.212928078817736	-0.07547038651004401
ABCF2	0.11923076923077	1.21496403940887	-1.0957332701781002
ABCF3	-0.150550000000003	-0.0804177339901457	-0.07013226600985728
ABCG1	0.835511538461539	-6.70239852216749	7.537910060629029
ABCG2	1.73071538461538	-1.71780246305419	3.44851784766957
ABCG4	1.00157307692308	-1.21159950738916	2.2131725843122396
ABCG5	1.33005769230769	-1.7197	3.04975769230769
ABCG8	0.575265384615385	-0.778253694581279	1.353519079196664
ABHD1	1.10941153846154	-0.30694236453202	1.41635390299356
ABHD10	0.851869230769231	1.04073497536946	-0.18886574460022887
ABHD11	-0.295930769230768	-0.775233497536947	0.47930272830617904
ABHD12	0.0033346153846141	-0.32007832512315	0.3234129405077641
ABHD12B	2.88274230769231	-6.96646600985222	9.84920831754453
ABHD13	1.97528076923077	0.76368078817734	1.21159998105343
ABHD14A	0.0604230769230787	1.86024630541872	-1.7998232284956412
ABHD14A-ACY1	0.620184615384616	1.04213300492611	-0.42194838954149394
ABHD14B	-0.351503846153844	0.633042364532022	-0.984546210685866
ABHD15	0.44135	0.424285714285713	0.01706428571428703
ABHD16A	0.597046153846155	-0.711389162561577	1.308435316407732
ABHD16B	-2.91001153846154	-4.7182487684729	1.8082372300113603
ABHD17A	0.110384615384617	-0.731790147783252	0.842174763167869
ABHD17B	1.05906923076923	-0.360078817733991	1.4191480485032208
ABHD17C	1.01815	-0.660812807881776	1.678962807881776
ABHD18	1.55433846153846	0.428382266009852	1.125956195528608
ABHD2	1.35014230769231	0.960321674876846	0.389820632815464
ABHD3	0.991503846153846	0.1484881773399	0.8430156688139461
ABHD4	0.0743846153846155	1.06811477832512	-0.9937301629405044
ABHD5	0.445453846153848	-1.17604187192118	1.621495718075028
ABHD6	-0.0694230769230777	-2.56495270935961	2.4955296324365324
ABHD8	0.280388461538463	-0.489555172413794	0.769943633952257
ABI1	1.10973076923077	-0.0005906403940922	1.1103214096248624
ABI2	1.22954615384615	2.11716354679803	-0.88761739295188
ABI3	0.479850000000001	-5.92137093596059	6.401220935960591
ABI3BP	1.58270384615385	3.76499359605911	-2.18228974990526
ABITRAM	1.00634230769231	-0.0398665024630511	1.046208810155361
ABL1	0.368703846153845	1.03250935960592	-0.6638055134520751
ABL2	0.359173076923077	2.71668472906404	-2.357511652140963
ABLIM1	1.01336153846154	-5.32246945812808	6.33583099658962
ABLIM2	-0.182026923076923	-3.61656551724138	3.434538594164457
ABLIM3	1.62300769230769	2.55632413793103	-0.9333164456233403
ABO	1.36558076923077	-7.9083645320197	9.27394530125047
ABR	0.316065384615387	-0.802630049261088	1.118695433876475
ABRA	1.18988461538462	-1.46225960591133	2.6521442212959503
ABRACL	0.175207692307691	1.0904527093596	-0.9152450170519089
ABRAXAS1	1.41126923076923	1.56764532019704	-0.1563760894278099
ABRAXAS2	0.856957692307694	0.567474384236451	0.289483308071243
ABT1	0.343161538461539	-0.0680620689655198	0.4112236074270588
ABTB1	0.380546153846153	-0.907166995073894	1.287713148920047
ABTB2	1.70995	-1.32311280788177	3.03306280788177
ABTB3	1.17796153846154	-5.04628325123153	6.22424478969307
ACAA1	0.20005	0.0240266009852199	0.1760233990147801
ACAA2	0.729484615384616	1.38542216748769	-0.6559375521030741
ACACA	0.561307692307692	0.171172413793104	0.39013527851458796
ACACB	0.398976923076923	-2.10472610837438	2.503703031451303
ACAD10	0.247630769230769	-0.301574876847293	0.549205646078062
ACAD11	1.44262692307692	0.197191625615764	1.245435297461156
ACAD8	0.745646153846155	-0.889976847290642	1.635623001136797
ACAD9	0.429999999999999	-1.49781625615764	1.927816256157639
ACADL	1.06901538461539	-4.78487980295566	5.85389518757105
ACADM	0.956607692307691	0.998179310344824	-0.04157161803713294
ACADS	-0.0566192307692299	-0.496558128078818	0.4399388973095881
ACADSB	0.855638461538462	-0.0696990147783256	0.9253374763167876
ACADVL	0.312826923076925	-1.06165812807883	1.374485051155755
ACAN	1.41832692307692	-0.308952216748765	1.727279139825685
ACAP1	0.299773076923077	-0.914553201970444	1.214326278893521
ACAP2	1.47472692307692	0.653348275862073	0.821378647214847
ACAP3	0.307711538461539	-2.39435221674877	2.7020637552103093
ACAT1	0.468834615384615	0.0259310344827588	0.4429035809018562
ACAT2	0.437692307692309	-0.113639408866996	0.551331716559305
ACBD3	0.888657692307692	1.28731379310345	-0.398656100795758
ACBD4	0.549061538461538	-0.426142857142862	0.9752043956044001
ACBD5	1.09171538461539	0.234622167487685	0.857093217127705
ACBD6	0.231123076923076	0.591097536945814	-0.35997446002273803
ACBD7	1.60338846153846	2.18214778325123	-0.5787593217127702
ACCS	0.725592307692308	-0.529888669950734	1.255480977643042
ACCSL	-1.19413846153846	-4.482621182266	3.2884827207275396
ACD	-0.0800153846153853	0.243362561576355	-0.3233779461917403
ACE	0.506238461538462	1.17157881773399	-0.6653403561955281
ACE2	2.36613461538462	-4.98008669950738	7.346221314892
ACER1	0.0700730769230793	-10.9386128078818	11.00868588480488
ACER2	2.02072692307692	-2.13094285714286	4.15166978021978
ACER3	0.914053846153846	1.74046009852217	-0.8264062523683241
ACHE	0.435665384615385	-3.49325221674877	3.928917601364155
ACIN1	0.581903846153846	0.395753201970436	0.18615064418341004
ACKR1	-1.05123461538462	-1.80752857142857	0.7562939560439501
ACKR2	-0.0198384615384612	-1.96189950738917	1.9420610458507088
ACKR3	1.32768846153846	-0.0562532019704367	1.3839416635088968
ACKR4	1.63719230769231	1.86456453201971	-0.2273722243273999
ACLY	0.812184615384616	1.8681472906404	-1.055962675255784
ACMSD	2.42669615384616	0.0580413793103434	2.3686547745358166
ACO1	0.373496153846153	2.86035320197044	-2.486857048124287
ACO2	-0.22281923076923	0.178567980295564	-0.401387211064794
ACOD1	1.38646538461539	0.692190147783252	0.694275236832138
ACOT1	-0.183665384615384	1.1678	-1.351465384615384
ACOT11	0.736830769230769	-0.560039408866995	1.2968701780977638
