Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	bucket	library
Reactome_2022	Elastic Fibre Formation R-HSA-1566948	3/39	0.5898795276237371	0.9999960876339328	0	0	0.9940090673575128	0.5246747177662892	TGFB2;TGFB3;LTBP3	Tumour_only	Reactome_2022
Reactome_2022	Downstream TCR Signaling R-HSA-202424	7/94	0.597584592775571	0.9999960876339328	0	0	0.9595611285266458	0.4940390931219401	PSMC6;PIK3CA;PSMD5;TAB2;MAP3K7;MALT1;SKP1	Tumour_only	Reactome_2022
Reactome_2022	HDR Thru Homologous Recombination (HRR) R-HSA-5685942	5/67	0.5993078739094705	0.9999960876339328	0	0	0.961832140914606	0.4924386589695139	GEN1;WRN;MRE11;TOPBP1;SPIDR	Tumour_only	Reactome_2022
Reactome_2022	Synthesis Of IP3 And IP4 In Cytosol R-HSA-1855204	2/26	0.6081133638165855	0.9999960876339328	0	0	0.9940129449838188	0.4944160357428607	PLCH1;PLCB1	Tumour_only	Reactome_2022
Reactome_2022	Collagen Degradation R-HSA-1442490	3/40	0.6073372725142601	0.9999960876339328	0	0	0.9670914437753816	0.4822604610565939	COL16A1;PHYKPL;COL19A1	Tumour_only	Reactome_2022
Reactome_2022	RET Signaling R-HSA-8853659	3/40	0.6073372725142601	0.9999960876339328	0	0	0.9670914437753816	0.4822604610565939	PIK3CA;GFRA1;SOS1	Tumour_only	Reactome_2022
Reactome_2022	APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409	2/26	0.6081133638165855	0.9999960876339328	0	0	0.9940129449838188	0.4944160357428607	CDC23;ANAPC4	Tumour_only	Reactome_2022
Reactome_2022	Calnexin/calreticulin Cycle R-HSA-901042	2/26	0.6081133638165855	0.9999960876339328	0	0	0.9940129449838188	0.4944160357428607	RNF103;RNF139	Tumour_only	Reactome_2022
Reactome_2022	Downstream Signaling Of Activated FGFR4 R-HSA-5654716	2/26	0.6081133638165855	0.9999960876339328	0	0	0.9940129449838188	0.4944160357428607	PIK3CA;SOS1	Tumour_only	Reactome_2022
Reactome_2022	Infection With Mycobacterium Tuberculosis R-HSA-9635486	2/26	0.6081133638165855	0.9999960876339328	0	0	0.9940129449838188	0.4944160357428607	RAB5A;TLR2	Tumour_only	Reactome_2022
Reactome_2022	Metal Ion SLC Transporters R-HSA-425410	2/26	0.6081133638165855	0.9999960876339328	0	0	0.9940129449838188	0.4944160357428607	SLC40A1;SLC30A1	Tumour_only	Reactome_2022
Reactome_2022	Platelet Calcium Homeostasis R-HSA-418360	2/26	0.6081133638165855	0.9999960876339328	0	0	0.9940129449838188	0.4944160357428607	TRPC6;ITPR1	Tumour_only	Reactome_2022
