Symbol	logFC_tum	adj_tum	logFC_norm	adj_norm	dir_tum	dir_norm	sig_tum	sig_norm	delta_logFC
DLL3	-2.35957307692308	0.0006499960724643	4.66806650246305	1.11800053711052e-72	DOWN	UP	True	True	-7.027639579386131
FCMR	-2.02686923076923	0.0001201518799487	1.75455812807882	5.97232262719209e-53	DOWN	UP	True	True	-3.78142735884805
PIK3CD	-1.36936923076923	2.67100517487759e-05	1.0136763546798	2.09692375283241e-50	DOWN	UP	True	True	-2.38304558544903
SNX8	-1.00564615384615	0.0004848319469503	1.52310591133004	3.60305232538829e-94	DOWN	UP	True	True	-2.52875206517619
TRPV2	-1.41105384615385	0.0001440645506555	1.77440197044335	1.32913353890717e-74	DOWN	UP	True	True	-3.1854558165972
UPP1	-1.25748076923077	0.0005760836569288	2.00248916256158	1.98199822407271e-86	DOWN	UP	True	True	-3.25996993179235
WIPI1	-1.11948461538462	0.00015548935718	2.28466108374384	8.67882920220782e-141	DOWN	UP	True	True	-3.40414569912846
