logFC	AveExpr	t	P.Value	adj.P.Val	B	HGNC_symbol
ENSG00000255248	3.22105903335157	2.01995590185992	31.3887086429481	1.93898439873799e-90	3.78334635881756e-86	193.451377032821	MIR100HG
ENSG00000140937	2.27351912374038	4.49898969168093	15.1722876684643	1.12263896571313e-37	1.09524657494973e-33	74.8197799396043	CDH11
ENSG00000185532	1.701963139086	0.437867967217899	14.460524263431	3.50677576460895e-35	2.28080695730166e-31	69.1659750319644	PRKG1
ENSG00000111145	1.40413992110442	4.31155870218677	14.3592590627898	7.92478479269117e-35	3.86571002187475e-31	68.363404504465	ELK3
ENSG00000067798	2.18863148174092	-0.932972633194552	14.0710140241592	8.0414926871979e-34	3.13811210625211e-30	66.0822682249684	NAV3
ENSG00000091986	1.89685227149166	5.110112466607	13.910389516989	2.91762117618129e-33	9.48810406494154e-30	64.8135320344247	CCDC80
ENSG00000166147	1.95022427445846	3.9872963232607	13.8159673673894	6.21774958056418e-33	1.73315328308526e-29	64.0686211615862	FBN1
ENSG00000011465	1.91900710872312	7.39563078305448	13.7957316634742	7.31165055473112e-33	1.78331157029892e-29	63.9090709345379	DCN
ENSG00000134853	1.73788671195259	2.72170880135408	13.7737310008927	8.72005856413223e-33	1.89050869670387e-29	63.735642700187	PDGFRA
ENSG00000164484	1.79410975091988	1.35007500330739	13.745229824491	1.09547209298481e-32	2.13748514783196e-29	63.5110314009839	TMEM200A
ENSG00000170624	2.14364348506741	-0.144871746455253	13.6726222717025	1.95828808834202e-32	3.47364701633905e-29	62.9391388163995	SGCD
ENSG00000169946	1.70769385914275	0.0330961542490272	13.6541084167839	2.27075616938986e-32	3.69224953142791e-29	62.7933877070749	ZFPM2
ENSG00000120820	1.80901301935466	2.13879082349027	13.4938698337141	8.16698063956999e-32	1.22580097107146e-28	61.5332003313265	GLT8D2
ENSG00000065534	1.7652687965596	4.17729950981712	13.4474437652477	1.18282287750294e-31	1.58506287327961e-28	61.1685371497832	MYLK
ENSG00000123096	1.80146015757165	1.93377902465759	13.4437147756092	1.21852926912639e-31	1.58506287327961e-28	61.13925615783	SSPN
ENSG00000174099	1.67252538002229	2.1733665264358	13.3449982993567	2.6763329304111e-31	3.26378800863634e-28	60.3646148802346	MSRB3
ENSG00000113083	1.93869620586301	2.86331025089494	13.3242624299705	3.15689984855621e-31	3.62337822617817e-28	60.2020242263157	LOX
ENSG00000116132	1.83465421767751	3.34601104437743	13.3123105554872	3.47208719251222e-31	3.76374251668324e-28	60.1083295461634	PRRX1
ENSG00000151917	2.27134684598886	-0.307090238167315	13.2075263444472	7.99187432862542e-31	8.20723431053364e-28	59.2875435363311	BEND6
ENSG00000087245	1.83855586698494	6.54862836762257	13.1798711675164	9.95673028464867e-31	9.71378606570325e-28	59.0711172174558	MMP2
ENSG00000140285	2.13962424182407	1.86523338331517	12.9880906351742	4.5614040855006e-30	4.23819602458513e-27	57.5726747163784	FGF7
ENSG00000129116	1.52695089160902	5.29281288717899	12.9768784667664	4.98519963385433e-30	4.42141887526208e-27	57.4852053659096	PALLD
ENSG00000139329	1.72071755386091	8.50065864560312	12.9261489559288	7.4502564864005e-30	6.32040889402811e-27	57.0896430647771	LUM
ENSG00000183801	1.58068299508043	1.63738700808949	12.8980923981635	9.30280276799316e-30	7.56317865037844e-27	56.8710103070255	OLFML1
ENSG00000166250	2.07566510910344	1.4317846858249	12.8522790058231	1.33659627466622e-29	1.04318666045149e-26	56.5142206338258	CLMP
ENSG00000122870	1.9450265823876	1.32371811639689	12.8444498460488	1.42195083113144e-29	1.06711940834757e-26	56.4532749214901	BICC1
ENSG00000119865	1.31008431303634	2.02142725600389	12.7867048522621	2.24421997772692e-29	1.62182297057065e-26	56.0040083705193	CNRIP1
ENSG00000162614	1.63565760514687	1.8758858391323	12.7332100915252	3.42363072570341e-29	2.38578152571161e-26	55.5882032263405	NEXN
ENSG00000122786	1.46474174794059	5.47315843624903	12.7151160134719	3.94901908240979e-29	2.65700897710275e-26	55.4476484566699	CALD1
ENSG00000177363	2.12190184819895	-1.69507887814786	12.6601560082147	6.09113603874273e-29	3.96167487959827e-26	55.0209942674953	LRRN4CL
ENSG00000101230	2.2667523159455	1.21015228303502	12.6536796073322	6.41009562733943e-29	4.03463825421442e-26	54.97074555276	ISM1
ENSG00000169604	1.72576400500462	4.59549864757199	12.6463546524604	6.79097137677396e-29	4.07991743972251e-26	54.9139201904214	ANTXR1
ENSG00000180447	2.12987265072063	1.04890111749027	12.644328988684	6.90022937222441e-29	4.07991743972251e-26	54.8982068697425	GAS1
ENSG00000148516	1.35914221728077	1.93891900201945	12.5961477840677	1.00846396141559e-28	5.7873967103356e-26	54.5246300322859	ZEB1
ENSG00000151617	1.67449864595936	2.59081653031128	12.5774488414976	1.16836490936369e-28	6.5134674604298e-26	54.3797352927398	EDNRA
ENSG00000019549	1.92749336862616	2.01627600636187	12.5466794530696	1.4883627136313e-28	7.8999564651935e-26	54.1414185598484	SNAI2
ENSG00000164176	2.14882402150703	3.13275702017121	12.5458550713035	1.49804422515457e-28	7.8999564651935e-26	54.1350354031999	EDIL3
ENSG00000177469	1.46248855687229	5.4793538356109	12.5015112243383	2.12288510061308e-28	1.09004563376743e-25	53.7918294212621	CAVIN1
ENSG00000138185	1.1582225830129	3.46969624282879	12.4866595471818	2.3856447871591e-28	1.19355643812944e-25	53.6769474985592	ENTPD1
ENSG00000111817	1.69497217106844	2.82535148406614	12.4415814795473	3.39891439903937e-28	1.65799044385141e-25	53.3284579867532	DSE
ENSG00000159403	1.34261076970059	7.08493062731517	12.3698568039391	5.96585108032595e-28	2.83916307998341e-25	52.7746060262076	C1R
ENSG00000173068	1.8728954355384	-0.518044346754864	12.3505380920193	6.94101260070635e-28	3.22459613964244e-25	52.6255645880755	BNC2
ENSG00000169504	1.10572119076752	5.52048606008171	12.3258707442679	8.4205412461448e-28	3.82096746034366e-25	52.4353442220274	CLIC4
ENSG00000058091	1.53260937729755	1.95490241042802	12.3209083766335	8.75420464042011e-28	3.88209183963357e-25	52.3970889083052	CDK14
ENSG00000131459	1.72607734316715	2.12979514385214	12.2960679153245	1.06333924940013e-27	4.61063898539897e-25	52.2056505007336	GFPT2
ENSG00000026103	1.63995732243375	3.40807753228794	12.1355202982713	3.72790085275359e-27	1.56270856389962e-24	50.9707752072579	FAS
ENSG00000139278	1.56705417099062	3.56524100877043	12.1342775744973	3.76421189541217e-27	1.56270856389962e-24	50.9612333298763	GLIPR1
ENSG00000262655	1.95683245111641	2.73894315143191	12.012543419385	9.71599938929763e-27	3.87689728030265e-24	50.0278208742454	SPON1
ENSG00000167601	1.64520832691558	3.49662501324124	12.0122796428501	9.73595565471657e-27	3.87689728030265e-24	50.0258011379475	AXL
ENSG00000163430	1.59427321312035	5.29132778510506	11.9995363302966	1.07503489029704e-26	4.19521615589517e-24	49.928240293543	FSTL1
ENSG00000165424	1.11524988131154	2.50669961968094	11.9700581094207	1.35190168222917e-26	5.17221678895207e-24	49.7026702429853	ZCCHC24
ENSG00000121297	1.5981639234392	0.379270226603113	11.902205821402	2.28963128214415e-26	8.51317685043677e-24	49.1840529537789	TSHZ3
ENSG00000072952	1.55094071026502	1.36412805867704	11.9009296495961	2.31241478614775e-26	8.51317685043677e-24	49.1743067858452	IRAG1
ENSG00000144810	1.88100978515129	4.33476593682879	11.8734687493669	2.86132009920418e-26	1.03389032917911e-23	48.9646595688912	COL8A1
ENSG00000256235	1.28843720240026	3.49338774326848	11.8641802647306	3.07496773312063e-26	1.09088673470272e-23	48.8937792016966	SMIM3
ENSG00000204381	1.50607317424764	2.18167098536965	11.8537095310009	3.33493170939207e-26	1.16198549131532e-23	48.81389631914	LAYN
ENSG00000120594	1.40633007074498	3.31203021800778	11.7565520373001	7.07472772694181e-26	2.42179100715945e-23	48.0736504406962	PLXDC2
ENSG00000168461	1.31114123449239	5.07403565683658	11.6726867291808	1.35211771377252e-25	4.54871048812576e-23	47.4361368108438	RAB31
ENSG00000107562	1.76692591705996	3.68194649014397	11.6696580520479	1.38408336356467e-25	4.57732789658878e-23	47.4131396977797	CXCL12
ENSG00000176971	1.98882280846276	1.55832056638911	11.6551294598605	1.54821093656845e-25	5.0347819657206e-23	47.3028476033426	FIBIN
ENSG00000078098	1.65348118266225	3.51923557263813	11.6094766257745	2.20109759717183e-25	6.98801442990202e-23	46.956553498569	FAP
ENSG00000134954	1.24244233301394	4.43222465630739	11.6083393440764	2.22046378973927e-25	6.98801442990202e-23	46.9479321258686	ETS1
